Ensembl Gene ID,Ensembl Transcript ID,Fruitfly Ensembl Gene ID
ENSDARG00000042641,ENSDART00000062551,
ENSDARG00000041421,ENSDART00000140861,FBgn0026619
ENSDARG00000018174,ENSDART00000128070,
ENSDARG00000067591,ENSDART00000097307,FBgn0022361
ENSDARG00000012314,ENSDART00000150159,
ENSDARG00000004173,ENSDART00000048277,FBgn0025725
ENSDARG00000056557,ENSDART00000079042,FBgn0008635
ENSDARG00000098813,ENSDART00000169993,FBgn0086377
ENSDARG00000044562,ENSDART00000036456,FBgn0000409
ENSDARG00000019188,ENSDART00000028870,FBgn0017456
ENSDARG00000019188,ENSDART00000028870,FBgn0026316
ENSDARG00000070161,ENSDART00000102734,FBgn0013342
ENSDARG00000070161,ENSDART00000102734,FBgn0003660
ENSDARG00000013800,ENSDART00000018475,FBgn0023167
ENSDARG00000037539,ENSDART00000054664,
ENSDARG00000104540,ENSDART00000164249,
ENSDARG00000090369,ENSDART00000149532,FBgn0001961
ENSDARG00000024693,ENSDART00000031194,
ENSDARG00000007786,ENSDART00000009858,FBgn0034455
ENSDARG00000057882,ENSDART00000080628,FBgn0065032
ENSDARG00000057882,ENSDART00000080628,FBgn0038369
ENSDARG00000028027,ENSDART00000038133,FBgn0051721
ENSDARG00000043451,ENSDART00000063786,FBgn0017572
ENSDARG00000044753,ENSDART00000149371,FBgn0038922
ENSDARG00000015978,ENSDART00000020000,FBgn0031830
ENSDARG00000087573,ENSDART00000173374,FBgn0051119
ENSDARG00000087573,ENSDART00000172771,FBgn0051119
ENSDARG00000000796,ENSDART00000000876,FBgn0014859
ENSDARG00000041729,ENSDART00000125691,FBgn0037130
ENSDARG00000042336,ENSDART00000017619,
ENSDARG00000054122,ENSDART00000076265,FBgn0030752
ENSDARG00000018980,ENSDART00000017307,FBgn0039882
ENSDARG00000099677,ENSDART00000159525,
ENSDARG00000035810,ENSDART00000138953,
ENSDARG00000057714,ENSDART00000166058,
ENSDARG00000008170,ENSDART00000025691,FBgn0036372
ENSDARG00000042660,ENSDART00000128149,FBgn0031603
ENSDARG00000054300,ENSDART00000076478,
ENSDARG00000104571,ENSDART00000162993,
ENSDARG00000068691,ENSDART00000099446,
ENSDARG00000105185,ENSDART00000168723,
ENSDARG00000008480,ENSDART00000003517,FBgn0039407
ENSDARG00000051921,ENSDART00000073634,
ENSDARG00000105134,ENSDART00000168546,FBgn0042133
ENSDARG00000105134,ENSDART00000168546,FBgn0039366
ENSDARG00000105134,ENSDART00000168546,FBgn0039369
ENSDARG00000105134,ENSDART00000168546,FBgn0039367
ENSDARG00000105134,ENSDART00000168546,FBgn0039370
ENSDARG00000105134,ENSDART00000168546,FBgn0034729
ENSDARG00000105134,ENSDART00000168546,FBgn0036670
ENSDARG00000105134,ENSDART00000168546,FBgn0039368
ENSDARG00000105134,ENSDART00000168546,FBgn0033815
ENSDARG00000037655,ENSDART00000054849,FBgn0024238
ENSDARG00000007024,ENSDART00000146940,FBgn0003961
ENSDARG00000025033,ENSDART00000037749,FBgn0011708
ENSDARG00000068883,ENSDART00000099776,FBgn0039465
ENSDARG00000043684,ENSDART00000064144,FBgn0039698
ENSDARG00000029596,ENSDART00000047055,FBgn0051721
ENSDARG00000075766,ENSDART00000046802,FBgn0037298
ENSDARG00000075766,ENSDART00000046802,FBgn0038038
ENSDARG00000023214,ENSDART00000128250,FBgn0259481
ENSDARG00000023443,ENSDART00000170624,FBgn0262614
ENSDARG00000057630,ENSDART00000080339,FBgn0043783
ENSDARG00000057630,ENSDART00000080339,FBgn0035679
ENSDARG00000057630,ENSDART00000080339,FBgn0030525
ENSDARG00000057630,ENSDART00000080339,FBgn0052445
ENSDARG00000057630,ENSDART00000080339,FBgn0032372
ENSDARG00000031776,ENSDART00000044238,FBgn0015222
ENSDARG00000031776,ENSDART00000044238,FBgn0030449
ENSDARG00000021048,ENSDART00000004585,FBgn0030456
ENSDARG00000000212,ENSDART00000105808,
ENSDARG00000015015,ENSDART00000141835,
ENSDARG00000018328,ENSDART00000016696,FBgn0014020
ENSDARG00000038858,ENSDART00000056734,
ENSDARG00000044125,ENSDART00000064789,FBgn0036442
ENSDARG00000044125,ENSDART00000064789,FBgn0011761
ENSDARG00000101680,ENSDART00000169439,FBgn0000115
ENSDARG00000071679,ENSDART00000106156,
ENSDARG00000020133,ENSDART00000014166,
ENSDARG00000028131,ENSDART00000034865,FBgn0038925
ENSDARG00000054213,ENSDART00000159067,FBgn0032208
ENSDARG00000038941,ENSDART00000056846,
ENSDARG00000039882,ENSDART00000058339,FBgn0003008
ENSDARG00000103472,ENSDART00000170672,FBgn0032725
ENSDARG00000056510,ENSDART00000030282,
ENSDARG00000046106,ENSDART00000067776,FBgn0015789
ENSDARG00000055974,ENSDART00000078382,
ENSDARG00000040513,ENSDART00000131275,
ENSDARG00000006811,ENSDART00000010068,FBgn0037665
ENSDARG00000040161,ENSDART00000058742,
ENSDARG00000012453,ENSDART00000014536,
ENSDARG00000029045,ENSDART00000049503,FBgn0025574
ENSDARG00000022183,ENSDART00000038524,FBgn0086348
ENSDARG00000022183,ENSDART00000038524,FBgn0035904
ENSDARG00000022183,ENSDART00000038524,FBgn0035906
ENSDARG00000022183,ENSDART00000038524,FBgn0035907
ENSDARG00000020031,ENSDART00000010615,
ENSDARG00000029443,ENSDART00000045109,
ENSDARG00000055770,ENSDART00000078167,
ENSDARG00000037781,ENSDART00000055054,FBgn0012034
ENSDARG00000102412,ENSDART00000170835,FBgn0035169
ENSDARG00000014587,ENSDART00000025024,
ENSDARG00000099079,ENSDART00000164663,FBgn0020236
ENSDARG00000042962,ENSDART00000063071,
ENSDARG00000042571,ENSDART00000062441,FBgn0023171
ENSDARG00000059365,ENSDART00000139320,FBgn0032451
ENSDARG00000054849,ENSDART00000077119,FBgn0030482
ENSDARG00000020964,ENSDART00000005221,
ENSDARG00000017728,ENSDART00000023549,FBgn0010551
ENSDARG00000020676,ENSDART00000011305,FBgn0037580
ENSDARG00000037244,ENSDART00000054183,
ENSDARG00000045230,ENSDART00000066506,FBgn0031066
ENSDARG00000004141,ENSDART00000127436,FBgn0031775
ENSDARG00000004141,ENSDART00000127436,FBgn0030332
ENSDARG00000004141,ENSDART00000127436,FBgn0038946
ENSDARG00000004141,ENSDART00000127436,FBgn0038878
ENSDARG00000004141,ENSDART00000127436,FBgn0036380
ENSDARG00000004141,ENSDART00000127436,FBgn0030073
ENSDARG00000004141,ENSDART00000127436,FBgn0026268
ENSDARG00000004141,ENSDART00000127436,FBgn0069973
ENSDARG00000004141,ENSDART00000127436,FBgn0263830
ENSDARG00000037229,ENSDART00000054153,FBgn0030802
ENSDARG00000041708,ENSDART00000131811,FBgn0032691
ENSDARG00000035420,ENSDART00000046157,FBgn0030685
