Ensembl Gene ID,Ensembl Transcript ID,Fruitfly Ensembl Gene ID
ENSDARG00000074583,ENSDART00000156029,
ENSDARG00000012388,ENSDART00000167861,FBgn0033020
ENSDARG00000012388,ENSDART00000167861,FBgn0032833
ENSDARG00000102078,ENSDART00000159661,FBgn0031090
ENSDARG00000068064,ENSDART00000098209,FBgn0024291
ENSDARG00000086851,ENSDART00000125119,
ENSDARG00000095796,ENSDART00000149042,
ENSDARG00000091252,ENSDART00000122190,FBgn0038407
ENSDARG00000091252,ENSDART00000122190,FBgn0086365
ENSDARG00000091252,ENSDART00000122190,FBgn0019952
ENSDARG00000028096,ENSDART00000038401,
ENSDARG00000006832,ENSDART00000038740,FBgn0036529
ENSDARG00000006832,ENSDART00000038740,FBgn0036528
ENSDARG00000006832,ENSDART00000038740,FBgn0036527
ENSDARG00000077607,ENSDART00000139002,FBgn0030554
ENSDARG00000070626,ENSDART00000103894,
ENSDARG00000038587,ENSDART00000056333,
ENSDARG00000104992,ENSDART00000167600,
ENSDARG00000039196,ENSDART00000057268,
ENSDARG00000033446,ENSDART00000153401,
ENSDARG00000003520,ENSDART00000133420,
ENSDARG00000075825,ENSDART00000143174,
ENSDARG00000063544,ENSDART00000139633,FBgn0039924
ENSDARG00000075564,ENSDART00000080389,FBgn0028494
ENSDARG00000056138,ENSDART00000078568,FBgn0031266
ENSDARG00000053481,ENSDART00000075514,FBgn0024947
ENSDARG00000058946,ENSDART00000101012,FBgn0262029
ENSDARG00000058946,ENSDART00000101012,FBgn0002938
ENSDARG00000090625,ENSDART00000151025,
ENSDARG00000100968,ENSDART00000172220,
ENSDARG00000052165,ENSDART00000073963,FBgn0013751
ENSDARG00000021996,ENSDART00000155816,FBgn0004889
ENSDARG00000077650,ENSDART00000132653,FBgn0027508
ENSDARG00000017128,ENSDART00000026000,
ENSDARG00000035338,ENSDART00000036760,FBgn0266417
ENSDARG00000053992,ENSDART00000076097,
ENSDARG00000075824,ENSDART00000142215,FBgn0003977
ENSDARG00000009217,ENSDART00000152748,FBgn0035995
ENSDARG00000071594,ENSDART00000105955,FBgn0031708
ENSDARG00000045331,ENSDART00000155685,FBgn0260799
ENSDARG00000089303,ENSDART00000127054,
ENSDARG00000070006,ENSDART00000102363,FBgn0025682
ENSDARG00000077047,ENSDART00000155480,FBgn0031294
ENSDARG00000061798,ENSDART00000155597,
ENSDARG00000027807,ENSDART00000032212,FBgn0264959
ENSDARG00000101455,ENSDART00000168637,
ENSDARG00000053381,ENSDART00000075412,FBgn0041087
ENSDARG00000053381,ENSDART00000075412,FBgn0037166
ENSDARG00000053381,ENSDART00000075412,FBgn0037164
ENSDARG00000053381,ENSDART00000075412,FBgn0037163
ENSDARG00000053381,ENSDART00000075412,FBgn0037165
ENSDARG00000053381,ENSDART00000075412,FBgn0037167
ENSDARG00000053381,ENSDART00000075412,FBgn0016078
ENSDARG00000103211,ENSDART00000170422,
ENSDARG00000079835,ENSDART00000157029,
ENSDARG00000097209,ENSDART00000155404,
ENSDARG00000030824,ENSDART00000009093,FBgn0266758
ENSDARG00000063577,ENSDART00000093028,
ENSDARG00000038583,ENSDART00000153468,FBgn0023540
ENSDARG00000038583,ENSDART00000153468,FBgn0035384
ENSDARG00000074217,ENSDART00000111199,
ENSDARG00000097217,ENSDART00000154599,
