#Age::Genotype Beta< 0
Tissue,Expected,Observed,Fold Change,Q value
hermaphrodite somatic gonadal cell(WBbt:0007815),87.20143027413587,106.0,1.215576392116126,0.04722653844144299
pharynx(WBbt:0003681),338.8879618593564,431.0,1.2718067577120709,5.702101412622833e-11
excretory system(WBbt:0005736),83.27175208581646,111.0,1.3329850425821226,0.001735831629022775
epithelial system(WBbt:0005730),308.94755661501785,371.0,1.2008510572631141,9.249743127906635e-06
gonadal sheath cell(WBbt:0005828),39.10965435041716,58.0,1.4830097827080733,0.0022204883712892355
body muscle cell(WBbt:0007810),176.83551847437425,243.0,1.3741583257506824,1.763866114606252e-08
body region(WBbt:0005738),794.3563766388557,830.0,1.0448710734997337,0.0008557097810188286
mu_int_R(WBbt:0003822),22.081048867699643,49.0,2.219097484616215,2.3696350190630077e-08
digestive tract(WBbt:0005743),571.8617401668653,738.0,1.290521726081302,1.285555030879711e-35
mu_int_L(WBbt:0003833),22.081048867699643,49.0,2.219097484616215,2.3696350190630077e-08
alimentary system(WBbt:0005748),585.5220500595948,745.0,1.2723688201395207,1.3337161949031255e-33
intestine(WBbt:0005772),446.1120381406436,632.0,1.4166844782627281,4.624234607550957e-40
hermaphrodite-specific(WBbt:0005758),352.7353992848629,404.0,1.1453344371420366,0.0004922024047487346
hypodermis(WBbt:0005733),278.63289630512514,347.0,1.2453662313440816,4.07078848531651e-07
excretory secretory system(WBbt:0006850),90.19547079856973,119.0,1.3193567143272458,0.001735831629022775
uterine muscle(WBbt:0005342),24.513706793802143,40.0,1.6317401662857978,0.0018130867414233155
egg-laying apparatus(WBbt:0008587),261.4171632896305,304.0,1.1628922759872158,0.0017603560896560613
vulval muscle(WBbt:0005821),121.82002383790227,180.0,1.4775895975813789,1.2534218171608483e-08
muscle of the reproductive system(WBbt:0005786),43.787842669845055,63.0,1.4387555120039195,0.003161606644432021
intestinal cell(WBbt:0005792),24.326579261025028,40.0,1.6442920137187655,0.001735831629022775
body wall musculature(WBbt:0005813),231.85101311084625,354.0,1.526842584167425,5.223307976800458e-22
Anatomy(WBbt:0005766),806.5196662693684,839.0,1.0402722154078057,0.001735831629022775
muscle cell(WBbt:0003675),256.5518474374255,325.0,1.2668004664408794,2.1502515326931675e-07
smooth muscle(WBbt:0005781),78.59356376638856,110.0,1.399605702153473,0.0002545337341504264
non-striated muscle(WBbt:0005780),232.5995232419547,302.0,1.2983689553217765,5.965300913552288e-08
muscular system(WBbt:0005737),343.9404052443385,448.0,1.3025512361123626,1.305482738644229e-13
anal depressor muscle(WBbt:0004292),80.46483909415971,137.0,1.702607021182047,5.1788084500519016e-11
excretory cell(WBbt:0005812),74.85101311084624,107.0,1.4295063694267518,0.00012759964676491983
