#aging_up (genes assoc. with aging only)
Tissue,Expected,Observed,Fold Change,Q value,Enrichment Fold Change
outer labial neuron WBbt:0006801,12.717391304347828,25.0,1.96581196581,0.005906423216351246,1.9658119658119655
nervous system WBbt:0005735,421.22826086956525,453.0,1.0754264186,0.0355541645282454,1.0754264185998503
cholinergic neuron WBbt:0006840,48.04347826086956,67.0,1.39457013575,0.01685302078872992,1.3945701357466065
embryonic cell WBbt:0007028,133.67391304347825,178.0,1.33159863392,0.00048583076986828314,1.3315986339242154
anterior ganglion (post) WBbt:0005371,30.380434782608695,44.0,1.44830053667,0.0355541645282454,1.4483005366726298
interneuron WBbt:0005113,74.6086956521739,110.0,1.47435897436,0.00048583076986828314,1.4743589743589745
ventral cord blast cell WBbt:0008115,11.58695652173913,20.0,1.72607879925,0.0355541645282454,1.726078799249531
outer labial sensillum WBbt:0005501,14.413043478260871,29.0,2.01206636501,0.0022157660747873544,2.0120663650075414
serotonergic neuron WBbt:0006837,32.92391304347826,46.0,1.39716077914,0.03743613461426511,1.3971607791350282
blast cell WBbt:0006783,39.28260869565217,58.0,1.47648035418,0.01034027035659097,1.476480354178196
retrovesicular ganglion neuron WBbt:0005403,13.847826086956522,26.0,1.87755102041,0.007522519816174579,1.8775510204081634
ASE WBbt:0005663,20.34782608695652,32.0,1.57264957265,0.029907184378902656,1.5726495726495728
deirid sensillum WBbt:0006926,9.608695652173914,17.0,1.76923076923,0.03732658973537982,1.7692307692307692
ray neuron WBbt:0006971,7.630434782608696,14.0,1.83475783476,0.03788488585684992,1.8347578347578346
anterior ganglion WBbt:0005375,37.44565217391305,56.0,1.49550072569,0.010122428365559457,1.4955007256894048
mechanosensory neuron WBbt:0008431,48.326086956521735,67.0,1.38641475484,0.01827010448198421,1.3864147548358077
lateral ganglion WBbt:0005105,71.78260869565217,90.0,1.25378558449,0.04092081943203408,1.253785584494246
dopaminergic neuron WBbt:0006746,14.83695652173913,24.0,1.61758241758,0.03732658973537982,1.6175824175824176
post-embryonic cell WBbt:0007030,29.532608695652172,43.0,1.45601766654,0.0355541645282454,1.4560176665439823
nerve ring neuron WBbt:0006974,59.34782608695652,85.0,1.43223443223,0.004916094662376098,1.4322344322344323
posterior lateral ganglion WBbt:0005465,24.02173913043478,36.0,1.49864253394,0.0355541645282454,1.4986425339366516
inner labial sensillum WBbt:0005116,19.358695652173914,32.0,1.65300393038,0.015731549975412172,1.653003930376193
sensory neuron WBbt:0005759,114.45652173913042,143.0,1.24938271605,0.013946414276654516,1.249382716049383
marginal cell WBbt:0003673,9.608695652173914,17.0,1.76923076923,0.03732658973537982,1.7692307692307692
pharyngeal motor neuron WBbt:0003677,9.326086956521738,17.0,1.82284382284,0.0355541645282454,1.822843822843823
motor neuron WBbt:0005409,61.891304347826086,87.0,1.40569020021,0.005906423216351246,1.405690200210748
dorsal nerve cord WBbt:0006750,37.02173913043478,51.0,1.37756899589,0.03732658973537982,1.3775689958896067
ASJ WBbt:0005667,11.58695652173913,19.0,1.63977485929,0.0484661010382142,1.6397748592870545
