#Age Beta> 0
Tissue,Expected,Observed,Fold Change,Q value
digestive tract(WBbt:0005743),617.9992054032579,715.0,1.1569594163692283,8.935996917713842e-11
excretory cell(WBbt:0005812),80.88994835121176,104.0,1.2856974459724952,0.013742567129263654
intestine(WBbt:0005772),482.1040921732221,569.0,1.180243041362851,1.9882031142983065e-08
body wall musculature(WBbt:0005813),250.55661501787844,322.0,1.2851386900203123,1.3401522346390826e-07
alimentary system(WBbt:0005748),632.761620977354,727.0,1.148931881925909,1.254951652906157e-10
non-striated muscle(WBbt:0005780),251.36551450139055,306.0,1.2173507595382866,8.043508319037788e-05
anal depressor muscle(WBbt:0004292),86.95669447755263,116.0,1.3339973500251292,0.0019497569277638486
excretory secretory system(WBbt:0006850),97.47238776321018,119.0,1.2208585706250152,0.04258119860925375
excretory system(WBbt:0005736),89.99006754072309,115.0,1.2779188097392993,0.01092424633100519
pharynx(WBbt:0003681),366.2292411601112,446.0,1.2178164654116572,1.1089635399973941e-07
smooth muscle(WBbt:0005781),84.93444576877235,107.0,1.2597951164748806,0.023379229673186324
muscle cell(WBbt:0003675),277.25029797377834,336.0,1.2119013124803857,4.2669028535013444e-05
muscular system(WBbt:0005737),371.689312673818,447.0,1.202617306331517,5.199714132574883e-07
body muscle cell(WBbt:0007810),191.10250297973778,236.0,1.2349393457448468,0.0004547355668917897
vulval muscle(WBbt:0005821),131.64839094159714,176.0,1.3368944256833224,4.80234793131482e-05
epithelial system(WBbt:0005730),333.8732618196265,384.0,1.150137024771556,0.0011481657430030636
hypodermis(WBbt:0005733),301.1128327373858,346.0,1.149070920872251,0.0030337504883518984
