#hypodermis_embryo_enriched_
,Tissue,Expected,Observed,Fold Change,Q value
0,hyp7 syncytium(WBbt:0005734),5.584487534626039,22.0,3.939484126984127,1.9492635849924324e-07
1,hypodermis(WBbt:0005733),56.98456667985754,109.0,1.9127986111111113,1.0495100930187129e-13
2,anterior hypodermis(WBbt:0005373),3.4570637119113576,9.0,2.6033653846153846,0.04542141354001167
3,interfacial epithelial cell(WBbt:0005754),12.270676691729323,27.0,2.200367647058824,0.0008691097869583564
4,hyp6(WBbt:0004679),2.1654135338345863,8.0,3.6944444444444446,0.006432790082417762
5,syncytium(WBbt:0008074),17.247328848436883,34.0,1.971319750367107,0.0008728109242024075
6,epithelial cell(WBbt:0003672),39.12940245350217,74.0,1.891161003236246,6.067414136056768e-08
7,seam cell(WBbt:0005753),20.020577760189948,39.0,1.9479957305502846,0.0004055003684042341
8,P11(WBbt:0004410),2.2034032449544916,7.0,3.176903735632184,0.03217844714745128
9,epithelial system(WBbt:0005730),63.214879303521954,113.0,1.7875538361378207,1.8622308779345976e-12
10,neuronal sheath cell(WBbt:0005811),2.925207756232687,8.0,2.734848484848485,0.04542141354001167
11,hypodermal cell(WBbt:0007846),25.984962406015036,57.0,2.193576388888889,5.2219011666783747e-08
