#GABAergic_neuron_specific_
,Tissue,Expected,Observed,Fold Change,Q value
0,ASHL(WBbt:0003890),2.7309062129006727,6.0,2.197072887987248,0.04754667811479575
1,sensory neuron(WBbt:0005759),21.47605856747131,53.0,2.46786438179473,1.4095204725541687e-10
2,lumbar ganglion left(WBbt:0005098),8.086664028492283,22.0,2.720528505015904,2.0060110630756107e-05
3,HSNL(WBbt:0004758),2.863474475662841,10.0,3.492260917634052,0.00046655176961692526
4,embryonic cell(WBbt:0007028),25.0819153146023,50.0,1.9934681770849765,7.464612954090398e-07
5,male-specific(WBbt:0005757),5.090621290067274,13.0,2.5537157960199,0.0016837377724562412
6,serotonergic neuron(WBbt:0006837),6.1776810447170565,20.0,3.237460764845301,4.643474870654672e-06
7,pharyngeal segment(WBbt:0005789),7.34428175702414,20.0,2.7232070693464085,4.635299803134931e-05
8,oxygene sensory neuron(WBbt:0008432),2.810447170557974,13.0,4.625598422979443,4.643474870654672e-06
9,HSNR(WBbt:0004757),2.8369608231104078,10.0,3.5248988701353046,0.00043626069471912115
10,PVDL(WBbt:0004090),1.8029283735654926,5.0,2.773266022827041,0.024997639839854802
11,ganglion(WBbt:0005189),47.24732884843688,86.0,1.8202087207062332,3.541355762934477e-11
12,lateral ganglion right neuron(WBbt:0005100),12.77958053027305,38.0,2.9734935282095747,9.897242813751867e-10
13,ALML(WBbt:0003954),2.4127423822714684,7.0,2.901262916188289,0.007975282653872578
14,Cell(WBbt:0004017),113.77008310249307,126.0,1.1074967738793795,0.0009663660563570889
15,PVDR(WBbt:0004088),1.8029283735654926,5.0,2.773266022827041,0.024997639839854802
16,pharyngeal neuron(WBbt:0005439),6.9200633161852,20.0,2.890146966317836,2.0060110630756107e-05
17,AVAL(WBbt:0003870),1.3521962801741194,6.0,4.437225636523267,0.001213122920882526
18,pharyngeal nervous system(WBbt:0005440),6.9465769687376335,21.0,3.023071664577874,6.850025254663461e-06
19,dorsal nerve cord(WBbt:0006750),6.9465769687376335,22.0,3.1670274581292013,2.1794674237089083e-06
20,posterior lateral right ganglion(WBbt:0005463),2.889988128215275,7.0,2.4221552786526086,0.022756790070906606
21,dorsal-rectal ganglion neuron(WBbt:0005801),1.8559556786703602,10.0,5.388059701492537,1.0097607838531852e-05
22,procorpus(WBbt:0003713),1.5643055005935893,4.0,2.557045282064255,0.04821610691853915
23,ALMR(WBbt:0003953),2.3862287297190345,7.0,2.9334991708126035,0.0075361809095165835
24,DA neuron(WBbt:0005278),1.8029283735654926,10.0,5.546532045654082,7.889692794258905e-06
25,GABAergic neuron(WBbt:0005190),4.1891571032845265,32.0,7.638768184394484,1.5194363143584887e-19
26,AVM(WBbt:0003832),1.9089829837752275,7.0,3.6668739635157546,0.0018588472367917794
27,lateral ganglion left neuron(WBbt:0005102),12.806094182825484,38.0,2.9673372269089335,9.897242813751867e-10
28,ventral ganglion (post)(WBbt:0005264),3.446774831816383,18.0,5.222273249138921,9.425866496438726e-09
29,amphid left sensillum(WBbt:0005395),11.586466165413533,27.0,2.3303049967553537,3.49930088753883e-05
30,amphid neuron(WBbt:0005394),16.597546497823505,35.0,2.1087454103285492,1.8029966137075395e-05
31,anterior ganglion(WBbt:0005375),7.026117926394935,25.0,3.5581526330611095,3.8458826364474047e-08
32,ventral ganglion (ant)(WBbt:0005266),2.757419865453106,16.0,5.802525832376579,1.27370824564309e-08
33,lateral nerve cord(WBbt:0006769),2.2006331618519983,6.0,2.7264880417191155,0.01796175060766311
34,VA neuron(WBbt:0005339),1.378709932726553,5.0,3.626578645235362,0.0071849778500981745
35,ASER(WBbt:0003903),3.4732884843688168,11.0,3.1670274581292013,0.0006244719951912435
36,retrovesicular ganglion neuron(WBbt:0005403),2.5983379501385038,18.0,6.927505330490406,9.518250887928566e-11
37,ciliated neuron(WBbt:0006816),21.47605856747131,47.0,2.188483508384006,1.1823281563310029e-07
38,lateral ganglion left(WBbt:0005103),12.859121487930352,38.0,2.9551007847361133,9.986035386524013e-10
39,ventral cord neuron(WBbt:0005300),17.180846853977048,48.0,2.7938087341072415,2.960356143005015e-11
40,CANR(WBbt:0004947),1.9089829837752275,5.0,2.619195688225539,0.030489815688022587
41,chemosensory neuron(WBbt:0005837),10.20775623268698,27.0,2.645047489823609,4.643474870654672e-06
42,tail(WBbt:0005741),44.383854372774046,70.0,1.577150091834733,7.86532785885596e-06
43,glutamatergic neuron(WBbt:0006829),3.0225563909774436,9.0,2.9776119402985075,0.002580599909686126
44,mechanosensory neuron(WBbt:0008431),9.06766917293233,25.0,2.7570480928689887,4.933077525982161e-06
45,neuron(WBbt:0003679),74.4768500197863,111.0,1.4903960085652197,7.228632214002601e-11
46,lumbar right ganglion neuron(WBbt:0005600),7.980609418282548,23.0,2.8819854217285665,5.665581954217611e-06
47,motor neuron(WBbt:0005409),11.612979817965968,54.0,4.6499693314250665,1.1835233727187961e-22
48,ASGR(WBbt:0003891),1.5908191531460227,7.0,4.400248756218906,0.0006244719951912435
49,posterior lateral left ganglion(WBbt:0005464),4.480807281361298,14.0,3.1244369866643114,0.00014193507392559724
50,interneuron(WBbt:0005113),13.999208547685003,48.0,3.42876526458616,1.5767965921572584e-14
51,lumbar left ganglion neuron(WBbt:0005097),7.7154728927582115,22.0,2.851413037903267,1.0082335248147673e-05
52,DB neuron(WBbt:0005274),1.4847645429362881,7.0,4.71455223880597,0.000400938236929155
53,AVAR(WBbt:0003869),1.3521962801741194,6.0,4.437225636523267,0.001213122920882526
54,preanal ganglion neuron(WBbt:0005447),3.8709932726553222,13.0,3.358311183806993,0.00011753251478144501
55,outer labial neuron(WBbt:0006801),2.3862287297190345,6.0,2.514427860696517,0.026074281915252275
56,PVQL(WBbt:0004076),1.3256826276216858,4.0,3.017313432835821,0.026986721732686104
57,carbon dioxide sensory neuron(WBbt:0008430),5.117134942619708,16.0,3.1267496713324565,4.97623672322609e-05
58,AIYR(WBbt:0003961),2.015037593984962,9.0,4.466417910447762,0.00011753251478144501
59,ventral nerve cord(WBbt:0005829),12.090225563909774,27.0,2.2332089552238807,7.402359944049828e-05
60,PVQR(WBbt:0004074),1.3256826276216858,4.0,3.017313432835821,0.026986721732686104
61,ASGL(WBbt:0003892),1.6173328056984566,7.0,4.32811353070712,0.000660834315291322
62,PLMR(WBbt:0004103),2.333201424614167,8.0,3.4287652645861604,0.0016382688997789358
63,head neuron(WBbt:0006751),57.53462603878116,87.0,1.5121328839672605,5.954072391062199e-07
64,head motor neuron(WBbt:0008610),3.6058567471309853,23.0,6.378511852502195,1.7820170318599779e-12
65,command interneuron(WBbt:0007804),2.4127423822714684,11.0,4.559127439724454,2.0060110630756107e-05
66,nerve ring(WBbt:0006749),16.730114760585675,48.0,2.869077749130733,1.203842962474573e-11
67,PQR(WBbt:0004096),1.4847645429362881,5.0,3.3675373134328357,0.010100546203727752
68,AIYL(WBbt:0003963),2.041551246537396,9.0,4.408412483039349,0.00012817707489490285
69,sensillum(WBbt:0006929),22.510091017016226,43.0,1.910254381801241,1.7671257907420705e-05
70,pharyngeal cell(WBbt:0005460),19.858725761772853,35.0,1.7624494350676525,0.000660834315291322
71,PLML(WBbt:0004104),2.3597150771666007,8.0,3.39023981217508,0.0017305700497490147
72,nerve ring neuron(WBbt:0006974),11.13573407202216,36.0,3.2328358208955223,3.32753360559702e-10
73,VD neuron(WBbt:0005303),1.405223585278987,11.0,7.827935792734441,8.091425322531935e-08
74,outer labial sensillum(WBbt:0005501),2.704392560348239,6.0,2.2186128182616334,0.046304336878518294
75,PVM(WBbt:0004086),1.5643055005935893,4.0,2.557045282064255,0.04821610691853915
76,lateral ganglion right(WBbt:0005101),12.832607835377917,38.0,2.9612063648698657,9.922251272414451e-10
77,pharyngeal motor neuron(WBbt:0003677),1.7499010684606253,10.0,5.714608774310267,6.293735045599971e-06
78,ASKL(WBbt:0003884),2.78393351800554,8.0,2.87363184079602,0.005407743578991719
79,cholinergic neuron(WBbt:0006840),9.014641867827462,39.0,4.326294995610184,8.020634922926214e-15
80,DD neuron(WBbt:0005270),1.6438464582508903,18.0,10.949927780452576,2.2945860316375935e-14
81,ASKR(WBbt:0003883),2.7309062129006727,8.0,2.929430517316331,0.004788237076429497
82,anterior ganglion (post)(WBbt:0005371),5.7004352987732485,25.0,4.385629989586949,5.447770309876132e-10
83,amphid right sensillum(WBbt:0005392),11.5599525128611,27.0,2.335649732986444,3.42063827608348e-05
84,lumbar ganglion right(WBbt:0005601),8.325286901464187,23.0,2.762667553949995,1.0097607838531852e-05
85,CANL(WBbt:0004949),1.9354966363276611,5.0,2.5833162952361484,0.03214644505490124
86,terminal bulb(WBbt:0003732),5.276216857934309,14.0,2.6534163354083855,0.0007894806561367929
